name,type,ra,dec,epoch,ctas_event_id,ctas_score,classification,primary_messenger,ctas_url,source_url,name2,name3,name4,name5,name6,name7,name8
SN2026uyg,SIDEREAL,265.79752472,-0.450875279864,2000.0,6f713173-0b86-4097-9706-a7cee680a4de,43.69,SN Ia,electromagnetic,https://jackmcguireastro.github.io/ctas.html?event=6f713173-0b86-4097-9706-a7cee680a4de#dossier,https://www.wis-tns.org/object/2026uyg,,,,,,,
AT2026aabu,SIDEREAL,55.463076,-40.902872,2000.0,f641faac-767f-447a-883a-25899af0f841,56.18,Unclassified,electromagnetic,https://jackmcguireastro.github.io/ctas.html?event=f641faac-767f-447a-883a-25899af0f841#dossier,https://www.wis-tns.org/object/2026aabu,,,,,,,
AT2026aabq,SIDEREAL,350.939615714,-29.3933557143,2000.0,6881445b-a379-4ed5-acd5-881651a2def7,57.25,Unclassified,electromagnetic,https://jackmcguireastro.github.io/ctas.html?event=6881445b-a379-4ed5-acd5-881651a2def7#dossier,https://www.wis-tns.org/object/2026aabq,,,,,,,
AT2026aabv,SIDEREAL,261.607145556,35.4798566667,2000.0,576e114e-cae0-4c35-ad8c-4492467e99c1,80.59,Unclassified,electromagnetic,https://jackmcguireastro.github.io/ctas.html?event=576e114e-cae0-4c35-ad8c-4492467e99c1#dossier,https://www.wis-tns.org/object/2026aabv,,,,,,,
AT2026aaam,SIDEREAL,276.1520862,-14.8536236,2000.0,cc1e285d-c8e3-40c0-850e-b59e4e6f9a87,64.74,Unclassified,electromagnetic,https://jackmcguireastro.github.io/ctas.html?event=cc1e285d-c8e3-40c0-850e-b59e4e6f9a87#dossier,https://www.wis-tns.org/object/2026aaam,ZTF26abrcopp,,,,,,
AT2026aabp,SIDEREAL,342.138568,-45.200482,2000.0,58a5d441-f24a-4911-aa0b-5e3ecc85b6d7,82.83,Unclassified,electromagnetic,https://jackmcguireastro.github.io/ctas.html?event=58a5d441-f24a-4911-aa0b-5e3ecc85b6d7#dossier,https://www.wis-tns.org/object/2026aabp,,,,,,,
AT2026aabr,SIDEREAL,335.815823,-29.800813,2000.0,b46d2a04-724e-43e9-a392-c01e7cdd47e1,81.56,Unclassified,electromagnetic,https://jackmcguireastro.github.io/ctas.html?event=b46d2a04-724e-43e9-a392-c01e7cdd47e1#dossier,https://www.wis-tns.org/object/2026aabr,,,,,,,
AT2026aabs,SIDEREAL,19.618548,-27.096599,2000.0,b33a89ea-7430-451f-b142-10f7d26d2f19,58.88,Unclassified,electromagnetic,https://jackmcguireastro.github.io/ctas.html?event=b33a89ea-7430-451f-b142-10f7d26d2f19#dossier,https://www.wis-tns.org/object/2026aabs,,,,,,,
AT2026aabt,SIDEREAL,237.555394,-33.549337,2000.0,78fdc289-ff63-44ea-9940-29aef8dd3d40,70.48,Unclassified,electromagnetic,https://jackmcguireastro.github.io/ctas.html?event=78fdc289-ff63-44ea-9940-29aef8dd3d40#dossier,https://www.wis-tns.org/object/2026aabt,,,,,,,
AT2026aabo,SIDEREAL,11.2260917,41.5529251,2000.0,a8c90733-c1a6-4fe7-a17b-53cd46624691,64.06,Unclassified,electromagnetic,https://jackmcguireastro.github.io/ctas.html?event=a8c90733-c1a6-4fe7-a17b-53cd46624691#dossier,https://www.wis-tns.org/object/2026aabo,ZTF26abramlb,,,,,,
