assertion_id,band,calibration,ctas_received_at,detection,difference_photometry,exposure_seconds,flux,flux_error,flux_unit,instrument,jd,limiting_magnitude,magnitude_system,mjd,observed_at,original_band,original_time,photometry_method,pipeline,provider,provider_observation_id,quality_flags,signal_to_noise,source_record_id,source_url,summary,superseded,telescope,magnitude,magnitude_error
2d25d336-3b43-4a48-909c-6da11e430964,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.792847Z,0,1,30.0,-2.0,14.0,uJy,tphot PSF fitting,2461246.591233,19.841876774005247,AB,61246.091233,2026-07-25T02:11:22.531200Z,o,2026-07-25 02:11:22.531200+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:85caf82f2b86e124984984015471387b,"[""low-snr"",""negative-difference-flux"",""southern-template-discontinuity-caution""]",-0.14285714285714285,a9838eb6-94af-482f-965a-d08ec61661c8,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61246o0844o; chi/N=1.18; source mag5sig=19.23,0,ATLAS,,
4d0e64ba-a7f6-42ab-9766-be48c8fbd1aa,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.837452Z,0,1,30.0,-24.0,15.0,uJy,tphot PSF fitting,2461246.594392,19.76696871556164,AB,61246.094392,2026-07-25T02:15:55.468800Z,o,2026-07-25 02:15:55.468800+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:a1ed7e024144d45bd37ca58aebb674d5,"[""low-snr"",""negative-difference-flux"",""southern-template-discontinuity-caution""]",-1.6,c90d05d5-5647-44db-b0d4-3646ed7e8158,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61246o0851o; chi/N=0.65; source mag5sig=19.22,0,ATLAS,,
0f9de4a7-0916-46c3-b511-232b1ee0f0fb,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.845476Z,0,1,30.0,12.0,13.0,uJy,tphot PSF fitting,2461246.600308,19.92233848243375,AB,61246.100308,2026-07-25T02:24:26.611200Z,o,2026-07-25 02:24:26.611200+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:3d4b867f8f3f4a6f17e945e1eb14d4d7,"[""low-snr"",""southern-template-discontinuity-caution""]",0.9230769230769231,1cf6252f-799b-4373-b1cb-3a83ee414d0c,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61246o0864o; chi/N=1.12; source mag5sig=19.38,0,ATLAS,,
e4ce9f56-74c6-4435-808f-3623b9865ada,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.853055Z,0,1,30.0,21.0,12.0,uJy,tphot PSF fitting,2461246.609452,20.00924374808178,AB,61246.109452,2026-07-25T02:37:36.652800Z,o,2026-07-25 02:37:36.652800+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:30b302ccccb4b8e7ef1fc3db3d2ff7fc,"[""low-snr"",""southern-template-discontinuity-caution""]",1.75,bcd2f657-ed35-458c-951d-93bbb135476a,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61246o0884o; chi/N=0.91; source mag5sig=19.49,0,ATLAS,,
9a80d1ff-72f8-419b-83e9-3c82b1c01883,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.860662Z,0,1,30.0,-8.0,23.0,uJy,tphot PSF fitting,2461248.597427,19.30287727315686,AB,61248.097427,2026-07-27T02:20:17.692800Z,o,2026-07-27 02:20:17.692800+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:d70e68c2d5c98c5c711b637b18f2e04b,"[""low-snr"",""negative-difference-flux"",""southern-template-discontinuity-caution""]",-0.34782608695652173,17ef9429-242a-4d1b-a998-fcde115025bd,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61248o0877o; chi/N=1.11; source mag5sig=18.78,0,ATLAS,,
bce45917-5639-466f-8fe8-bb0ce33df4e7,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.868169Z,0,1,30.0,-5.0,27.0,uJy,tphot PSF fitting,2461248.598781,19.128787452803373,AB,61248.098781,2026-07-27T02:22:14.678400Z,o,2026-07-27 02:22:14.678400+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:acde9dccf27e40b0fdd7ce1fe07c3c7e,"[""low-snr"",""negative-difference-flux"",""southern-template-discontinuity-caution""]",-0.18518518518518517,89063a8b-d5d3-472d-b00d-f86e46d1c34a,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61248o0880o; chi/N=0.83; source mag5sig=18.71,0,ATLAS,,
ac011771-c4bf-40cc-9f28-6e03df077146,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.874966Z,0,1,30.0,-6.0,21.0,uJy,tphot PSF fitting,2461248.600598,19.401648626366043,AB,61248.100598,2026-07-27T02:24:51.667200Z,o,2026-07-27 02:24:51.667200+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:a50ac2876e221ba5830ac84ba8038a6f,"[""low-snr"",""negative-difference-flux"",""southern-template-discontinuity-caution""]",-0.2857142857142857,3489e872-0970-4deb-8e05-94025c3d01e5,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61248o0884o; chi/N=1.75; source mag5sig=18.78,0,ATLAS,,
963c46de-c9a0-4739-8b9c-3c38ecbc9f54,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.881593Z,0,1,30.0,11.0,22.0,uJy,tphot PSF fitting,2461248.601958,19.351140161145327,AB,61248.101958,2026-07-27T02:26:49.171200Z,o,2026-07-27 02:26:49.171200+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:7a13dde17d3aa874d341648b87ad5055,"[""low-snr"",""southern-template-discontinuity-caution""]",0.5,a4f2d861-81ee-4fab-bd4d-227344154dc4,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61248o0887o; chi/N=1.7; source mag5sig=18.73,0,ATLAS,,
83573896-127c-4abd-863a-aa2c36bc3384,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.888881Z,0,1,30.0,13.0,18.0,uJy,tphot PSF fitting,2461248.607095,19.569015600442576,AB,61248.107095,2026-07-27T02:34:13.008000Z,o,2026-07-27 02:34:13.008000+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:4197aab02ddcba449628a56267e9d841,"[""low-snr"",""southern-template-discontinuity-caution""]",0.7222222222222222,d39fbaae-af33-4242-a9d7-55aca9006c25,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61248o0898o; chi/N=1.92; source mag5sig=18.85,0,ATLAS,,
95f2cc98-f068-4496-9854-5d17b0407e27,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.895493Z,0,1,30.0,2.0,20.0,uJy,tphot PSF fitting,2461248.613179,19.45462187404089,AB,61248.113179,2026-07-27T02:42:58.665600Z,o,2026-07-27 02:42:58.665600+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:ff9bb8ef53c141a0c827cb2be9615902,"[""low-snr"",""southern-template-discontinuity-caution""]",0.1,f2629eb2-564e-4a18-9877-d07a62f95164,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61248o0911o; chi/N=1.26; source mag5sig=18.79,0,ATLAS,,
